path,language,start,end,word
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,3.605,4.232,celebrate
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,4.272,4.798,my
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,4.859,5.142,last
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,5.223,5.689,festival
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,5.729,6.033,with
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,6.134,6.296,my
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,6.377,6.7,daughter.
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,7.58,7.943,And
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,8.125,8.346,my
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,8.528,9.133,daughter
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,9.294,11.594,loves
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,12.038,12.34,Diwali.
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,12.32,13.375,And
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,13.395,13.435,as
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,13.8,14.165,she
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,14.206,14.571,loves
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,14.733,15.24,crackers.
datasets\Corpus\adult\audio\test_split\AD09008.wav,en,0.0,0.304,"Yes,"
datasets\Corpus\adult\audio\test_split\AD09008.wav,en,1.015,1.116,I
datasets\Corpus\adult\audio\test_split\AD09008.wav,en,1.218,1.38,do
datasets\Corpus\adult\audio\test_split\AD09008.wav,en,1.481,1.928,watching
datasets\Corpus\adult\audio\test_split\AD09008.wav,en,2.273,2.8,series.
datasets\Corpus\adult\audio\test_split\AD09016.wav,hi,0.0,0.448,और
datasets\Corpus\adult\audio\test_split\AD09016.wav,hi,0.488,0.854,यह
datasets\Corpus\adult\audio\test_split\AD09016.wav,hi,0.875,1.668,यूपी
datasets\Corpus\adult\audio\test_split\AD09016.wav,hi,1.688,1.953,में
datasets\Corpus\adult\audio\test_split\AD09016.wav,hi,1.973,2.339,आता
datasets\Corpus\adult\audio\test_split\AD09016.wav,hi,2.36,2.4,है
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,0.0,0.182,What
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,0.363,0.645,kind
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,0.746,0.807,of
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,0.908,1.15,food
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,1.23,1.351,do
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,1.392,1.513,you
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,1.573,1.856,like?
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,2.501,2.703,Can
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,2.743,2.864,you
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,2.945,3.187,tell
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,3.247,3.348,me
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,3.469,3.752,about
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,3.812,3.933,your
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,3.974,4.478,favorite
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,4.518,4.76,dish?
datasets\Corpus\adult\audio\test_split\AD09028.wav,hi,0.0,0.345,ये
datasets\Corpus\adult\audio\test_split\AD09028.wav,hi,0.366,0.528,मेरे
datasets\Corpus\adult\audio\test_split\AD09028.wav,hi,0.589,0.833,सारे
datasets\Corpus\adult\audio\test_split\AD09028.wav,hi,0.874,1.382,फेवरिट
datasets\Corpus\adult\audio\test_split\AD09028.wav,hi,1.402,1.748,फूड्स
datasets\Corpus\adult\audio\test_split\AD09028.wav,hi,1.768,2.56,हैं
datasets\Corpus\adult\audio\test_split\AD09032.wav,hi,0.0,0.398,वहाँ
datasets\Corpus\adult\audio\test_split\AD09032.wav,hi,0.419,0.65,पर
datasets\Corpus\adult\audio\test_split\AD09032.wav,hi,0.67,0.901,रूप
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,0.0,0.603,worth
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,0.684,0.986,seeing
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,2.012,2.112,and
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,2.193,2.273,I
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,2.293,2.434,have
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,2.675,2.997,also
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,3.078,3.46,visited
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,3.52,3.641,the
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,3.681,4.104,beaches
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,4.265,4.385,of
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,4.928,5.492,Andaman
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,6.256,6.377,and
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,6.397,6.96,Nicoba.
datasets\Corpus\adult\audio\test_split\AD09051.wav,hi,0.0,0.422,पर
datasets\Corpus\adult\audio\test_split\AD09051.wav,hi,0.442,0.764,उन्होंने
datasets\Corpus\adult\audio\test_split\AD09051.wav,hi,0.784,1.126,हिम्मत
datasets\Corpus\adult\audio\test_split\AD09051.wav,hi,1.146,1.971,नहीं
datasets\Corpus\adult\audio\test_split\AD09051.wav,hi,1.991,7.46,हारी
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,0.0,0.322,ये
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,0.342,0.744,गुफा
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,0.764,1.086,उन
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,1.106,1.448,लोगों
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,1.468,1.851,के
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,1.871,2.132,लिए
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,2.213,2.293,है
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,2.333,2.555,जो
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,2.575,3.037,दोस्ती
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,3.098,3.46,"में,"
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,3.48,3.862,प्यार
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,4.003,4.425,में
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,4.445,4.667,और
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,5.089,5.149,साथ
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,5.17,5.572,में
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,5.592,6.457,हमेशा
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,6.517,6.739,रहते
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,6.759,7.02,हैं।
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,7.0,7.242,चिंटू
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,7.262,7.544,और
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,7.564,7.765,राजू
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,7.785,8.067,ने
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,8.087,8.248,इस
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,8.309,8.55,राज
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,8.57,8.691,को
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,8.711,9.134,समझा
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,9.376,9.497,और
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,9.517,10.242,इसके
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,10.282,10.624,बाद
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,10.644,10.886,से
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,11.067,11.349,उनकी
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,11.369,11.752,दोस्ती
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,11.772,12.054,और
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,12.074,12.275,मजबूत
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,12.295,12.899,हो
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,12.919,13.02,गई।
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,0.0,0.845,Veerbade
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,0.885,1.127,"bhai,"
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,1.469,1.751,known
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,1.811,1.972,for
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,2.012,2.133,his
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,2.455,3.119,curiosity
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,3.36,3.481,and
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,3.562,4.286,Diyachoti
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,4.326,4.528,"bhai,"
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,4.91,5.333,admired
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,5.413,5.594,for
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,5.654,5.775,her
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,5.856,6.58,creativity.
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,0.0,0.604,Dusty
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,0.665,0.846,book
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,1.068,1.39,"Millie,"
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,1.591,1.732,old
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,1.813,1.994,book
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,2.014,2.317,"Millie,"
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,2.78,3.022,filled
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,3.102,3.223,with
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,3.263,3.888,mysterious
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,3.948,4.311,symbols
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,4.432,4.512,and
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,4.935,5.298,ancient
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,5.338,5.62,drawings.
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,6.32,6.928,Excited
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,7.05,7.212,by
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,7.232,7.577,their
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,7.658,8.287,"discovery,"
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,8.327,8.49,they
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,8.55,8.814,spent
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,9.037,9.28,hours
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,0.0,1.309,"Betted-breathed,"
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,1.33,1.45,they
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,1.511,1.914,explored
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,1.954,2.055,the
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,2.216,2.377,old
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,2.417,2.699,"house,"
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,2.76,3.324,discovering
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,3.404,3.425,a
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,3.485,3.747,hidden
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,3.828,4.271,passage
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,4.371,4.774,behind
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,4.815,4.835,a
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,5.036,5.58,bookshelf.
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,0.0,0.705,Stepping
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,0.766,0.987,through
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,1.007,1.108,the
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,1.189,1.974,"passage,"
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,1.995,2.136,they
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,2.256,2.498,found
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,2.619,3.123,themselves
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,3.304,3.385,in
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,3.465,3.485,a
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,3.566,3.888,lush
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,4.211,4.634,magical
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,4.735,5.178,forest
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,5.399,5.5,and
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,0.0,0.441,दाच
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,0.461,0.622,सब
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,0.662,1.023,बैरिन
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,1.043,1.283,"लैंड,"
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,1.303,1.664,बैरिन
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,1.684,1.825,पड़ी
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,1.845,2.065,"है,"
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,2.105,2.326,ऐसा
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,2.346,2.486,लगता
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,2.506,2.687,है
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,2.707,2.867,कि
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,2.887,3.068,ये
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,3.088,3.549,डेजर्ट
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,3.75,3.95,है
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,3.97,5.153,"एक,"
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,5.173,5.354,और
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,5.414,5.534,there
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,5.594,5.654,are
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,6.096,6.356,small
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,6.396,6.637,small
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,6.677,7.198,mountains
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,7.299,7.399,are
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,7.479,7.8,"there,"
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,7.82,8.762,जो
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,8.903,9.424,mountains
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,9.444,9.665,"हैं,"
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,9.685,9.845,that
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,9.905,9.965,are
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,10.026,10.246,short
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,10.607,10.928,heighted
datasets\Corpus\adult\audio\test_split\AD09072.wav,en,10.988,11.409,"mountains,"
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,11.429,12.793,जिससे
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,12.833,13.013,कि
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,13.033,13.274,साफ
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,13.294,13.454,नजर
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,13.515,13.735,आता
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,13.755,13.936,है
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,13.956,14.317,कि
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,14.397,14.637,ये
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,14.657,15.079,डेजर्ट
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,15.099,15.259,का
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,15.279,15.58,पाथ
datasets\Corpus\adult\audio\test_split\AD09072.wav,hi,15.6,15.66,"है,"
datasets\Corpus\adult\audio\test_split\AD09073.wav,en,0.0,0.691,There
datasets\Corpus\adult\audio\test_split\AD09073.wav,en,0.752,0.915,was
datasets\Corpus\adult\audio\test_split\AD09073.wav,en,0.935,1.179,one
datasets\Corpus\adult\audio\test_split\AD09073.wav,en,1.24,1.423,boy
datasets\Corpus\adult\audio\test_split\AD09073.wav,en,1.464,1.972,standing
datasets\Corpus\adult\audio\test_split\AD09073.wav,en,2.033,2.094,and
datasets\Corpus\adult\audio\test_split\AD09073.wav,en,2.175,2.48,looking.
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,0.0,0.364,कि
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,0.465,0.809,परेशानी
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,0.83,0.89,की
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,0.911,1.133,वजह
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,1.153,1.194,से
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,1.214,1.356,वह
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,1.396,1.599,ऐसी
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,1.619,1.841,जगह
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,2.003,2.55,आया
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,2.57,2.691,है
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,2.711,3.379,ताकि
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,3.501,3.743,उसे
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,3.764,4.027,थोड़ा
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,4.047,4.35,पीस
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,4.371,4.553,मिल
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,4.573,4.917,सके
datasets\Corpus\adult\audio\test_split\AD09081.wav,hi,4.937,5.2,अ
datasets\Corpus\adult\audio\test_split\AD09099.wav,hi,0.0,0.366,वो
datasets\Corpus\adult\audio\test_split\AD09099.wav,hi,0.386,1.077,खाली
datasets\Corpus\adult\audio\test_split\AD09099.wav,hi,1.097,1.422,है
datasets\Corpus\adult\audio\test_split\AD09099.wav,en,1.443,1.524,and
datasets\Corpus\adult\audio\test_split\AD09099.wav,en,1.564,1.625,he
datasets\Corpus\adult\audio\test_split\AD09099.wav,en,1.666,1.727,is
datasets\Corpus\adult\audio\test_split\AD09099.wav,en,1.788,2.154,jumping
datasets\Corpus\adult\audio\test_split\AD09099.wav,en,2.194,2.337,with
datasets\Corpus\adult\audio\test_split\AD09099.wav,en,2.397,2.58,joy
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,0.0,0.892,next
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,1.014,1.359,"image,"
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,1.764,2.028,next
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,2.129,2.515,image
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,2.535,2.596,is
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,2.738,2.92,of
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,2.9,4.436,Christmas
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,4.457,4.62,tree
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,4.6,6.056,Christmas
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,6.117,6.261,tree
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,6.24,6.486,बहुत
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,6.507,6.814,अच्छे
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,6.835,6.876,से
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,6.896,7.306,डेकॉरेट
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,7.327,7.593,किया
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,7.675,7.881,है
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,7.86,8.391,Christmas
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,8.453,8.637,tree
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,8.657,8.82,को
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,8.841,9.76,चोटे-चोटे
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,9.74,10.147,toys
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,10.188,10.29,से
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,10.31,10.718,डेकॉरेट
datasets\Corpus\adult\audio\test_split\AD09100.wav,hi,10.759,11.003,"किया,"
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,11.024,11.227,there
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,11.248,11.329,are
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,11.574,11.94,bills
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,11.92,12.43,there
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,12.491,12.552,are
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,12.613,13.163,small-small
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,13.245,13.592,toys
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,13.673,13.775,are
datasets\Corpus\adult\audio\test_split\AD09100.wav,en,13.836,14.06,there
datasets\Corpus\adult\audio\test_split\AD09102.wav,en,0.0,0.699,Golden
datasets\Corpus\adult\audio\test_split\AD09102.wav,en,0.74,1.007,balls
datasets\Corpus\adult\audio\test_split\AD09102.wav,en,1.11,1.213,are
datasets\Corpus\adult\audio\test_split\AD09102.wav,en,1.254,1.501,there.
datasets\Corpus\adult\audio\test_split\AD09105.wav,en,0.0,0.508,Thank
datasets\Corpus\adult\audio\test_split\AD09105.wav,en,0.551,0.741,you
datasets\Corpus\adult\audio\test_split\AD13003.wav,hi,0.0,0.405,तो
datasets\Corpus\adult\audio\test_split\AD13003.wav,hi,0.426,0.689,मेरा
datasets\Corpus\adult\audio\test_split\AD13003.wav,hi,0.73,1.176,प्रेसिडेट
datasets\Corpus\adult\audio\test_split\AD13003.wav,hi,1.196,2.392,फेस्टिवल
datasets\Corpus\adult\audio\test_split\AD13003.wav,hi,2.473,2.574,है
datasets\Corpus\adult\audio\test_split\AD13003.wav,hi,2.615,3.04,दिवाली
datasets\Corpus\adult\audio\test_split\AD13015.wav,en,0.0,0.608,stranger
datasets\Corpus\adult\audio\test_split\AD13015.wav,en,0.669,0.912,things
datasets\Corpus\adult\audio\test_split\AD13015.wav,hi,0.932,1.216,की
datasets\Corpus\adult\audio\test_split\AD13015.wav,hi,1.236,1.378,बात
datasets\Corpus\adult\audio\test_split\AD13015.wav,hi,1.398,1.662,करूँ
datasets\Corpus\adult\audio\test_split\AD13015.wav,en,1.682,2.026,stranger
datasets\Corpus\adult\audio\test_split\AD13015.wav,en,2.067,2.229,things
datasets\Corpus\adult\audio\test_split\AD13015.wav,hi,2.249,2.493,काफी
datasets\Corpus\adult\audio\test_split\AD13015.wav,hi,2.513,2.837,अच्छा
datasets\Corpus\adult\audio\test_split\AD13015.wav,hi,2.857,2.999,लगा
datasets\Corpus\adult\audio\test_split\AD13015.wav,hi,3.019,3.08,है
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,0.0,0.182,آگے
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,0.203,0.466,چیلنجز
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,0.487,0.649,آتے
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,0.669,0.791,ہیں
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,0.811,0.973,وہ
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,0.993,1.135,سب
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,1.156,1.358,چیزیں
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,1.379,1.46,اس
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,1.541,1.946,کے
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,2.068,2.25,اندر
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,2.27,2.493,دکھائی
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,2.514,2.858,گئی
datasets\Corpus\adult\audio\test_split\AD13019.wav,other,2.879,3.0,ہیں
datasets\Corpus\adult\audio\test_split\AD13028.wav,other,0.0,1.092,اور
datasets\Corpus\adult\audio\test_split\AD13028.wav,other,1.112,1.436,وہاں
